ant_id,support_id,operateur,generation,bande_mhz,systeme,statut,ant_lat,ant_lon,commune,code_insee,dist_ligne_km
618736,345992,SFR,3G,900,UMTS 900,En service,45.513333333333335,3.6919444444444447,Tissonnière,63081,4.67832262539655
618787,348090,SFR,4G,700,LTE 700,En service,45.465833333333336,3.791111111111111,Le Suc du Tour,63371,9.56484254097003
618788,348090,SFR,4G,800,LTE 800,En service,45.465833333333336,3.791111111111111,Le Suc du Tour,63371,9.56484254097003
618789,348090,SFR,3G,900,UMTS 900,En service,45.465833333333336,3.791111111111111,Le Suc du Tour,63371,9.56484254097003
618790,348092,SFR,4G,700,LTE 700,En service,45.66361111111111,3.577222222222222,L'Oligne,63434,3.433381319143419
618791,348092,SFR,4G,800,LTE 800,En service,45.66361111111111,3.577222222222222,L'Oligne,63434,3.433381319143419
618792,348092,SFR,3G,900,UMTS 900,En service,45.66361111111111,3.577222222222222,L'Oligne,63434,3.433381319143419
635043,472985,SFR,4G,700,LTE 700,En service,45.79111111111111,3.4469444444444446,Chez Goutta,63045,7.790901973017236
635044,472985,SFR,4G,800,LTE 800,En service,45.79111111111111,3.4469444444444446,Chez Goutta,63045,7.790901973017236
635045,472985,SFR,3G,900,UMTS 900,En service,45.79111111111111,3.4469444444444446,Chez Goutta,63045,7.790901973017236
626068,449668,SFR,2G,900,GSM 900,En service,45.65333333333333,3.808611111111111,Pierre sur Haute,63179,7.657865957573041
626069,449668,SFR,4G,800,LTE 800,En service,45.65333333333333,3.808611111111111,Pierre sur Haute,63179,7.657865957573041
626070,449668,SFR,3G,900,UMTS 900,En service,45.65333333333333,3.808611111111111,Pierre sur Haute,63179,7.657865957573041
644227,507293,SFR,5G,2100,5G NR 2100,Techniquement opérationnel,45.547777777777775,3.756666666666667,LA POUDRIERE,63003,1.6927236714938416
644228,507293,SFR,5G,3500,5G NR 3500,Techniquement opérationnel,45.547777777777775,3.756666666666667,LA POUDRIERE,63003,1.6927236714938416
644229,507293,SFR,2G,900,GSM 900,En service,45.547777777777775,3.756666666666667,LA POUDRIERE,63003,1.6927236714938416
644230,507293,SFR,4G,1800,LTE 1800,En service,45.547777777777775,3.756666666666667,LA POUDRIERE,63003,1.6927236714938416
644231,507293,SFR,4G,2100,LTE 2100,En service,45.547777777777775,3.756666666666667,LA POUDRIERE,63003,1.6927236714938416
644232,507293,SFR,4G,2600,LTE 2600,En service,45.547777777777775,3.756666666666667,LA POUDRIERE,63003,1.6927236714938416
644233,507293,SFR,4G,700,LTE 700,En service,45.547777777777775,3.756666666666667,LA POUDRIERE,63003,1.6927236714938416
644234,507293,SFR,4G,800,LTE 800,En service,45.547777777777775,3.756666666666667,LA POUDRIERE,63003,1.6927236714938416
644235,507293,SFR,3G,900,UMTS 900,En service,45.547777777777775,3.756666666666667,LA POUDRIERE,63003,1.6927236714938416
652319,535409,SFR,5G,2100,5G NR 2100,Techniquement opérationnel,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
652320,535409,SFR,5G,3500,5G NR 3500,Techniquement opérationnel,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
652321,535409,SFR,2G,900,GSM 900,En service,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
652322,535409,SFR,4G,1800,LTE 1800,En service,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
652323,535409,SFR,4G,2100,LTE 2100,En service,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
652324,535409,SFR,4G,2600,LTE 2600,En service,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
652325,535409,SFR,4G,700,LTE 700,En service,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
652326,535409,SFR,4G,800,LTE 800,En service,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
652327,535409,SFR,3G,900,UMTS 900,En service,45.848333333333336,3.551388888888889,Les Belins - Les Fayes,63430,9.293071021770537
661615,588097,SFR,5G,2100,5G NR 2100,Techniquement opérationnel,45.75666666666667,3.558611111111111,,63125,0.9801682147211461
661616,588097,SFR,5G,3500,5G NR 3500,Techniquement opérationnel,45.75666666666667,3.558611111111111,,63125,0.9801682147211461
661617,588097,SFR,2G,900,GSM 900,En service,45.75666666666667,3.558611111111111,,63125,0.9801682147211461
661618,588097,SFR,4G,1800,LTE 1800,En service,45.75666666666667,3.558611111111111,,63125,0.9801682147211461
661619,588097,SFR,4G,2100,LTE 2100,En service,45.75666666666667,3.558611111111111,,63125,0.9801682147211461
661620,588097,SFR,4G,2600,LTE 2600,En service,45.75666666666667,3.558611111111111,,63125,0.9801682147211461
661621,588097,SFR,4G,700,LTE 700,En service,45.75666666666667,3.558611111111111,,63125,0.9801682147211461
661622,588097,SFR,4G,800,LTE 800,En service,45.75666666666667,3.558611111111111,,63125,0.9801682147211461
661623,588097,SFR,3G,900,UMTS 900,En service,45.75666666666667,3.558611111111111,,63125,0.9801682147211461
685353,758708,SFR,5G,2100,5G NR 2100,Techniquement opérationnel,45.658055555555556,3.723055555555556,RESSONCLES,63454,2.1189992589946227
685354,758708,SFR,2G,900,GSM 900,En service,45.658055555555556,3.723055555555556,RESSONCLES,63454,2.1189992589946227
