point_id,lat,lon,distance_km,altitude_m,precipitation_mm_h,precipitation_p95_mm_h,temperature_c,windspeed_kmh,humidity_pct,cloudcover_pct
57,45.380285,3.69822,5.6796,750.8,0.1194,0.7,11.4743,9.08,75.0305,63.4
58,45.380772,3.69718,5.7772,746.4,0.1194,0.7,11.4592,9.08,75.0276,63.4
59,45.381493,3.696414,5.8772,756.7,0.1194,0.7,11.4438,9.08,75.0246,63.4
60,45.382185,3.695597,5.9772,760.2,0.1194,0.7,11.4284,9.08,75.0216,63.4
61,45.382868,3.694765,6.0772,765.3,0.1194,0.7,11.413,9.08,75.0186,63.4
62,45.383496,3.693857,6.1767,764.1,0.1194,0.7,11.3976,9.08,75.0157,63.4
63,45.383968,3.692771,6.2764,771.5,0.1194,0.7,11.3823,9.08,75.0127,63.4
64,45.38421,3.691546,6.3758,778.5,0.1194,0.7,11.367,9.08,75.0097,63.4
65,45.384619,3.690432,6.474,780.8,0.1194,0.7,11.3518,9.08,75.0068,63.4
66,45.385144,3.689392,6.574,779.2,0.1194,0.7,11.3364,9.08,75.0038,63.4
67,45.385669,3.688352,6.674,782.7,0.1194,0.7,11.321,9.08,75.0008,63.4
68,45.386035,3.687183,6.774,783.6,0.1194,0.7,11.3056,9.08,74.9978,63.4
69,45.386662,3.686306,6.8717,784.4,0.1194,0.7,11.2905,9.08,74.9949,63.4
70,45.387506,3.685885,6.9711,785.8,0.1194,0.7,11.2752,9.08,74.992,63.4
71,45.388392,3.685671,7.071,776.8,0.1194,0.7,11.2598,9.08,74.989,63.4
72,45.389289,3.685629,7.1708,791.6,0.1194,0.7,11.2444,9.08,74.986,63.4
73,45.390084,3.685064,7.2696,793.7,0.1194,0.7,11.2291,9.08,74.9831,63.4
74,45.390579,3.684019,7.368,786.9,0.1194,0.7,11.214,9.08,74.9801,63.4
75,45.390983,3.682875,7.468,791.4,0.1194,0.7,11.1986,9.08,74.9771,63.4
76,45.391428,3.681792,7.566,801.6,0.1194,0.7,11.1834,9.08,74.9742,63.4
77,45.392225,3.681206,7.6657,800.0,0.1194,0.7,11.1681,9.08,74.9712,63.4
78,45.393068,3.68076,7.7657,801.8,0.1194,0.7,11.1527,9.08,74.9683,63.4
79,45.393771,3.679966,7.8655,813.3,0.1194,0.7,11.1373,9.08,74.9653,63.4
80,45.394401,3.679052,7.9655,813.6,0.1194,0.7,11.1218,9.08,74.9623,63.4
81,45.395163,3.678399,8.0644,807.9,0.1194,0.7,11.1066,9.08,74.9593,63.4
82,45.396018,3.678003,8.1644,810.5,0.1194,0.7,11.0912,9.08,74.9564,63.4
83,45.396811,3.677412,8.2639,813.8,0.1194,0.7,11.0758,9.08,74.9534,63.4
84,45.397462,3.676539,8.3633,828.0,0.1194,0.7,11.0605,9.08,74.9504,63.4
85,45.397858,3.67541,8.4618,830.4,0.1194,0.7,11.0453,9.08,74.9475,63.4
86,45.398054,3.674162,8.5616,831.5,0.1194,0.7,11.0299,9.08,74.9445,63.4
87,45.398108,3.672887,8.6613,834.8,0.1194,0.7,11.0146,9.08,74.9415,63.4
