point_id,lat,lon,distance_km,altitude_m
152,45.683761,3.609265,15.1354,421.1
153,45.682984,3.609914,15.2354,417.9
154,45.682462,3.610955,15.3349,425.7
155,45.682182,3.612178,15.4349,429.4
156,45.681896,3.613397,15.5348,427.6
157,45.681593,3.614608,15.6347,423.0
158,45.68133,3.615839,15.7347,423.7
159,45.680953,3.617004,15.8344,432.7
160,45.680363,3.617974,15.9343,424.4
161,45.679643,3.618744,16.0342,417.3
162,45.6789,3.61947,16.1342,421.4
163,45.678357,3.620489,16.2338,425.2
164,45.678105,3.621716,16.3332,426.0
165,45.678114,3.622998,16.4328,430.2
166,45.678297,3.624255,16.5326,436.5
167,45.678538,3.625495,16.6326,441.9
168,45.678761,3.626742,16.7326,451.2
169,45.678782,3.628021,16.832,453.1
170,45.678502,3.62923,16.931,446.0
171,45.677958,3.630235,17.0298,438.7
172,45.677216,3.630932,17.1285,435.6
173,45.676373,3.631371,17.2282,434.1
174,45.675525,3.631771,17.3275,430.6
175,45.674784,3.632484,17.4268,432.0
176,45.674211,3.633473,17.5266,451.5
177,45.673749,3.634575,17.6265,459.6
178,45.673325,3.63571,17.7265,447.0
179,45.672883,3.636831,17.8265,445.1
180,45.672424,3.637938,17.9265,445.1
181,45.671789,3.638835,18.0257,447.5
182,45.67109,3.639644,18.1257,446.4
183,45.670481,3.640586,18.2254,455.4
184,45.670026,3.641693,18.3252,463.3
185,45.669382,3.642575,18.4243,474.6
186,45.668493,3.642773,18.5243,472.8
187,45.667626,3.643109,18.6242,460.8
188,45.666845,3.643727,18.7234,459.2
189,45.666134,3.644512,18.8233,461.2
190,45.66556,3.645492,18.9227,460.2
191,45.665231,3.64668,19.022,460.5
192,45.665159,3.647961,19.1219,462.4
193,45.665117,3.649241,19.2215,463.2
194,45.664803,3.650423,19.3198,461.8
195,45.664211,3.651374,19.4188,460.7
196,45.663445,3.652018,19.5176,460.8
197,45.662629,3.652558,19.6176,461.9
198,45.661887,3.653262,19.7166,470.9
199,45.66131,3.654235,19.8158,474.4
200,45.66092,3.655388,19.9153,471.4
201,45.660476,3.656499,20.0148,472.7
202,45.659817,3.657361,20.1141,475.4
203,45.658977,3.657763,20.2126,479.5
204,45.658087,3.657831,20.3117,486.0
205,45.657188,3.657837,20.4117,485.8
206,45.656315,3.658047,20.5101,475.8
207,45.655543,3.658676,20.6089,465.7
208,45.654955,3.659644,20.7086,465.7
209,45.654597,3.660795,20.8065,471.6
210,45.654452,3.662065,20.9065,471.1
211,45.654221,3.663306,21.0063,470.7
212,45.65376,3.664404,21.1059,473.2
213,45.653045,3.665177,21.2056,474.8
214,45.652173,3.66547,21.3052,478.7
215,45.651279,3.665584,21.405,479.2
216,45.650381,3.665577,21.5049,476.9
217,45.649495,3.665399,21.6044,476.7
218,45.648641,3.665008,21.7041,481.7
219,45.647812,3.664516,21.8039,484.8
220,45.646944,3.664207,21.9034,485.7
221,45.646053,3.664382,22.0034,481.8
222,45.645257,3.664965,22.1028,480.3
223,45.644657,3.665908,22.2019,482.5
224,45.644292,3.667079,22.3016,485.3
225,45.644129,3.668321,22.3998,480.7
226,45.644365,3.669553,22.4991,480.5
227,45.644847,3.670622,22.598,487.2
228,45.645468,3.671552,22.698,489.4
229,45.64612,3.672438,22.798,494.5
230,45.646762,3.673338,22.898,495.5
231,45.64729,3.674371,22.9975,492.4
232,45.647449,3.675611,23.0955,497.6
233,45.647445,3.676892,23.1951,495.5
234,45.647135,3.67808,23.2937,492.1
235,45.646543,3.679034,23.3929,494.0
236,45.645843,3.679842,23.4929,496.8
237,45.645227,3.680758,23.5917,495.4
238,45.644847,3.68191,23.6907,494.6
239,45.644741,3.683176,23.7898,497.2
240,45.644952,3.684417,23.8891,494.7
241,45.645371,3.685554,23.989,497.0
242,45.645799,3.686683,24.0888,497.4
243,45.646066,3.687902,24.1881,497.3
244,45.646172,3.68918,24.2881,499.3
245,45.646258,3.69046,24.3881,502.4
246,45.646349,3.69174,24.4881,500.7
247,45.646422,3.693022,24.5881,498.9
248,45.646443,3.694305,24.6879,499.2
249,45.646358,3.695586,24.7879,496.6
250,45.646178,3.696843,24.8876,498.3
251,45.645826,3.698024,24.9874,502.9
252,45.645427,3.699174,25.0872,504.4
253,45.645215,3.700424,25.1872,498.9
254,45.645029,3.701682,25.2872,494.9
255,45.644813,3.70293,25.3871,495.9
256,45.64441,3.704068,25.4863,494.2
257,45.643787,3.704985,25.5857,495.2
258,45.642983,3.705537,25.6849,496.1
259,45.642104,3.705745,25.784,495.9
260,45.641207,3.705826,25.8839,494.7
261,45.64031,3.705907,25.9838,496.5
262,45.639422,3.706075,26.0834,496.7
263,45.63858,3.706522,26.1833,495.5
264,45.637824,3.707217,26.2832,496.1
265,45.637166,3.708094,26.3832,497.3
266,45.636498,3.708956,26.4832,498.2
267,45.63585,3.709843,26.5829,502.7
268,45.635084,3.710511,26.6827,507.3
269,45.634216,3.710846,26.7827,510.2
270,45.633329,3.710686,26.8821,514.5
271,45.632497,3.710222,26.9814,514.1
272,45.631671,3.709713,27.0814,513.1
273,45.6308,3.709474,27.18,507.1
274,45.629921,3.709604,27.2783,503.3
275,45.629108,3.71012,27.3772,509.8
276,45.628463,3.710991,27.4758,510.6
277,45.627983,3.712079,27.5758,506.9
278,45.627393,3.713029,27.6746,511.4
279,45.626617,3.713634,27.7729,518.7
280,45.625746,3.713916,27.8722,523.6
281,45.624853,3.714054,27.9721,517.3
282,45.623984,3.714365,28.0717,508.1
283,45.623253,3.71511,28.1715,507.4
284,45.622746,3.716165,28.271,507.1
285,45.622491,3.717395,28.3708,512.3
286,45.622305,3.71865,28.4706,519.8
287,45.621876,3.719752,28.5687,524.1
288,45.621278,3.720711,28.6686,523.5
289,45.620604,3.721559,28.7684,520.3
290,45.619952,3.722443,28.8683,517.6
291,45.619259,3.72326,28.9682,516.0
292,45.618429,3.723704,29.0667,518.4
293,45.617543,3.723767,29.1653,527.2
294,45.61669,3.723444,29.2634,541.2
295,45.61597,3.722711,29.3617,563.5
296,45.615434,3.721685,29.4613,549.9
297,45.61506,3.720523,29.5608,527.6
298,45.614656,3.719378,29.6605,522.5
299,45.613997,3.718523,29.7595,516.7
300,45.613181,3.718006,29.8587,512.8
301,45.612298,3.717852,29.9576,510.4
302,45.61142,3.718042,30.0563,510.2
303,45.610559,3.718409,30.1562,511.9
304,45.609687,3.718713,30.256,512.7
305,45.608795,3.718871,30.3559,513.0
306,45.607896,3.718902,30.4559,511.9
307,45.606998,3.718835,30.5559,514.1
308,45.6061,3.71877,30.6559,516.6
309,45.605201,3.718713,30.756,521.5
310,45.604303,3.718663,30.8559,529.8
311,45.603404,3.718619,30.9559,529.5
312,45.602505,3.718563,31.056,524.7
313,45.601607,3.718491,31.156,522.9
314,45.60071,3.718404,31.256,529.5
315,45.599813,3.718313,31.356,529.9
316,45.598915,3.718249,31.456,532.1
317,45.598031,3.718336,31.5545,531.3
318,45.597219,3.718872,31.654,531.1
319,45.596565,3.719747,31.7536,531.2
320,45.596123,3.720851,31.8526,527.3
321,45.595945,3.722107,31.9523,522.5
322,45.595858,3.723387,32.0524,521.6
323,45.595722,3.724656,32.1523,522.4
324,45.595366,3.72583,32.2519,518.9
325,45.594751,3.726762,32.3516,517.6
326,45.593959,3.727368,32.4515,521.0
327,45.593064,3.727487,32.5514,530.3
328,45.592178,3.727303,32.651,533.7
329,45.591309,3.72698,32.7508,536.4
330,45.590444,3.726625,32.8509,538.7
331,45.589579,3.726276,32.9508,541.8
332,45.588726,3.725876,33.0506,536.2
333,45.587922,3.725306,33.1504,532.1
334,45.58717,3.724603,33.2503,526.5
335,45.586376,3.724013,33.3498,532.5
336,45.585485,3.723845,33.4497,531.8
337,45.584587,3.723903,33.5497,533.6
338,45.583704,3.724124,33.6494,526.5
339,45.582873,3.724585,33.7485,522.7
340,45.5821,3.725238,33.8484,522.0
341,45.581352,3.725953,33.9485,519.8
342,45.580587,3.726625,34.0484,524.9
343,45.579785,3.727203,34.1483,529.1
344,45.578966,3.727734,34.2483,525.7
345,45.57814,3.728243,34.3483,523.5
346,45.577307,3.728726,34.4483,524.7
347,45.576442,3.729076,34.5483,527.1
348,45.575549,3.729212,34.6482,527.8
349,45.57465,3.729221,34.7482,529.2
350,45.573751,3.729196,34.8482,524.5
351,45.572852,3.729168,34.9482,523.0
352,45.571953,3.729132,35.0482,524.7
353,45.571054,3.729089,35.1482,523.9
354,45.570155,3.729054,35.2482,522.6
355,45.569256,3.729029,35.3482,523.8
356,45.568358,3.729067,35.4481,527.7
357,45.567461,3.729153,35.5481,530.6
358,45.566564,3.729258,35.6482,529.3
359,45.565669,3.729378,35.7482,533.1
360,45.564773,3.729484,35.8482,533.2
361,45.563877,3.729599,35.9482,530.5
362,45.562982,3.729719,36.0482,527.8
363,45.562086,3.72983,36.1482,528.3
364,45.561189,3.72993,36.2482,529.1
365,45.560292,3.730027,36.3482,531.7
366,45.559395,3.730107,36.4481,532.1
367,45.558498,3.730203,36.5481,534.3
368,45.557601,3.7303,36.6481,535.1
369,45.556705,3.730412,36.7481,530.0
370,45.555831,3.730664,36.8472,526.8
371,45.555045,3.731242,36.9455,525.9
372,45.554422,3.732166,37.0454,523.6
373,45.553822,3.733122,37.1454,523.9
374,45.553124,3.733912,37.2444,523.1
375,45.552306,3.734419,37.3436,524.4
376,45.551426,3.734665,37.4433,524.9
377,45.550528,3.734745,37.5433,526.8
378,45.549629,3.734777,37.6433,527.5
379,45.548731,3.734835,37.7433,525.6
380,45.547833,3.734911,37.8433,526.3
381,45.546936,3.734993,37.9432,527.0
382,45.546038,3.735072,38.0432,527.4
383,45.54514,3.735138,38.1432,526.7
384,45.544242,3.735198,38.2432,527.5
385,45.543343,3.735259,38.3433,528.1
386,45.542445,3.735303,38.4432,528.2
