Nom,Entrée Longitude,Entrée Latitude,Sortie Longitude,Sortie Latitude
Tunnel de Sauviat,3.5310529240104755,45.717035041435416,3.530250400212581,45.71438026534273
Tunnel d'Archimbaud,3.5378127647530873,45.70836111970801,3.5390899409854537,45.70744767503924
Tunnel de Cublas,3.547546151946072,45.704207561668994,3.549869922844851,45.70359761336551
Tunnel des Graves,3.556581755173706,45.70050162152515,3.560628917036347,45.70002565965764
Tunnel de Saint Gervais,3.5971846875327222,45.69207183201674,3.598759366093904,45.691874173660565
Tunnel de Constancis,3.616912829048121,45.680781159455464,3.6175025238754217,45.68074743403811
Tunnel d'Olliergues,3.633447413445283,45.674283755815345,3.6347441540195975,45.673755879789475
Tunnel de Chalard,3.641195493597482,45.670306844052966,3.642820199670456,45.66846137621942
Tunnel de Got,3.649186605345646,45.66526479884044,3.649939896178294,45.66510301623746
Tunnel de Flouvat,3.674870865065407,45.647514378674614,3.677026151367045,45.64751562231163
Tunnel du Châtelet,3.7197255002896874,45.62365633468591,3.720517407276516,45.618418780061674
Tunnel de Perrier,3.7235670430986816,45.616806438862724,3.721325113678712,45.61534951807912
Galerie de Notre Dame,3.691697541678373,45.38419407748064,3.690962716453427,45.38442793404659
Tunnel de Rouaires,3.6818941500498763,45.391654563978676,3.681315869380017,45.39203042647798
Tunnel de Mailles,3.67932584780049,45.39422275705055,3.678861550532681,45.394561245524045
Tunnel de Saint Sauveur,3.664847889609269,45.39756308375169,3.6633833656666885,45.39720261499565
Tunnel de Besse,3.6540428573653547,45.39752920279394,3.6528133447859554,45.397381757738316
